created_at;";data;;;;data_payload;;;;;vazao";
11/10/17;"10:31:17.243394-03;2017-10-11 10:31;10:31;12:08:00";"AM;8;0b00cc16;00cc16;52246;7;0,875;0,875"
11/10/17;"10:23:36.395163-03;2017-10-11 10:23;10:23;12:07:00";"AM;7;0b00cc0f;00cc0f;52239;7;1;1"
11/10/17;"10:16:08.762043-03;2017-10-11 10:16;10:16;12:08:00";"AM;8;0b00cc08;00cc08;52232;10;1,25;1,25"
11/10/17;"10:08:49.683069-03;2017-10-11 10:08;10:08;12:07:00";"AM;7;0b00cbfe;00cbfe;52222;12;1,714285714;1,714285714"
11/10/17;"10:01:21.7724-03;2017-10-11 10:01;10:01;12:08:00 A";"M;8;0b00cbf2;00cbf2;52210;10;1,25;1,25"
11/10/17;"09:53:45.209109-03;2017-10-11 09:53;09:53;12:07:00";"AM;7;0b00cbe8;00cbe8;52200;13;1,857142857;1,857142857"
11/10/17;"09:46:21.778866-03;2017-10-11 09:46;09:46;12:15:00";"AM;15;0b00cbdb;00cbdb;52187;29;1,933333333;1,933333333"
11/10/17;"09:31:25.644037-03;2017-10-11 09:31;09:31;12:08:00";"AM;8;0b00cbbe;00cbbe;52158;19;2,375;2,375"
11/10/17;"09:23:53.339759-03;2017-10-11 09:23;09:23;12:07:00";"AM;7;0b00cbab;00cbab;52139;24;3,428571429;3,428571429"
11/10/17;"09:16:33.799361-03;2017-10-11 09:16;09:16;12:08:00";"AM;8;0b00cb93;00cb93;52115;27;3,375;3,375"
11/10/17;"09:08:56.637178-03;2017-10-11 09:08;09:08;12:07:00";"AM;7;0b00cb78;00cb78;52088;33;4,714285714;4,714285714"
11/10/17;"09:01:36.858176-03;2017-10-11 09:01;09:01;12:08:00";"AM;8;0b00cb57;00cb57;52055;34;4,25;4,25"
11/10/17;"08:53:55.157946-03;2017-10-11 08:53;08:53;12:07:00";"AM;7;0b00cb35;00cb35;52021;41;5,857142857;5,857142857"
11/10/17;"08:46:30.766393-03;2017-10-11 08:46;08:46;12:15:00";"AM;15;0b00cb0c;00cb0c;51980;99;6,6;6,6"
11/10/17;"08:31:28.143678-03;2017-10-11 08:31;08:31;12:08:00";"AM;8;0b00caa9;00caa9;51881;45;5,625;5,625"
11/10/17;"08:23:59.241484-03;2017-10-11 08:23;08:23;12:07:00";"AM;7;0b00ca7c;00ca7c;51836;30;4,285714286;4,285714286"
11/10/17;"08:16:52.510697-03;2017-10-11 08:16;08:16;12:07:00";"AM;7;0b00ca5e;00ca5e;51806;22;3,142857143;3,142857143"
11/10/17;"08:09:02.492001-03;2017-10-11 08:09;08:09;12:08:00";"AM;8;0b00ca48;00ca48;51784;25;3,125;3,125"
11/10/17;"08:01:34.353968-03;2017-10-11 08:01;08:01;12:07:00";"AM;7;0b00ca2f;00ca2f;51759;31;4,428571429;4,428571429"
11/10/17;"07:54:10.314945-03;2017-10-11 07:54;07:54;12:08:00";"AM;8;0b00ca10;00ca10;51728;72;9;9"
11/10/17;"07:46:36.160087-03;2017-10-11 07:46;07:46;12:07:00";"AM;7;0b00c9c8;00c9c8;51656;130;18,57142857;18,57142857"
11/10/17;"07:39:18.047983-03;2017-10-11 07:39;07:39;12:08:00";"AM;8;0b00c946;00c946;51526;133;16,625;16,625"
11/10/17;"07:31:33.681592-03;2017-10-11 07:31;07:31;12:07:00";"AM;7;0b00c8c1;00c8c1;51393;140;20;20"
11/10/17;"07:24:02.376562-03;2017-10-11 07:24;07:24;12:08:00";"AM;8;0b00c835;00c835;51253;151;18,875;18,875"
